nhiều;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/2791cb974ffa94d863c1898d3c24384f.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f3ebc24d023fa4855fd97ca14f888e24.mp3
Quán cà phê này có nhiều loại nước uống.;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/0845f76fb86f66b6483aabad9a6e0281.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/50192411873a773fe48b7761e049bbe8.mp3
loại;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/299531ed4ded231e1df8057814bac999.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/4d8081151b2d70e6d8e503941f532138.mp3
này;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/4ac4dfff577837b5698d249cf0ba1b86.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/28e63aa5aed9845b662a75c563ff63ee.mp3
Cơm này ngon.;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/88c6d662a61ca8fe96e7892081796fa7.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/f7538bf12945343ed8d06a207263caa5.mp3
Cơm;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/5c269772fc09a6cd7f58077918a0c009.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/13aacaf22884d15ea3f4f3597d091d76.mp3
đi chơi;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/a5425bfbafb1b47bba5269b1f80238cf.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/0c75ad68b27bf3c2b901501772c09386.mp3
Anh đi chơi với gia đình;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/3c921b55357ace9e6ef4735a8369efbb.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/e09b599c4acb7aaef0365302a6d40635.mp3
gia đình;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/ce0bd822996135684fd891ad529a2064.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/ccf0b2dd8c5dabfe39b0e72ae4b601b3.mp3
với;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/1ca8f39858039310af4b56c0daac534d.mp3;https://file01.fpt.ai/text2speech-v5/long/2023-08-16/73f8907fd51888b690ca255488cf3b48.mp3
